City,Census_Year,Census_Total_Population,Census_Households,Census_Ethnicity_Population,Census_White_Alone,Census_Black_Alone,Census_American_Indian_Alone,Census_Asian_Alone,Census_Native_Hawaiian_Alone,Census_Other_Alone,Census_Two_or_More_Alone,Census_Hispanic_Alone,Census_White_Alone_Percentage,Census_Black_Alone_Percentage,Census_American_Indian_Alone_Percentage,Census_Asian_Alone_Percentage,Census_Native_Hawaiian_Alone_Percentage,Census_Other_Alone_Percentage,Census_Two_or_More_Alone_Percentage,Census_Hispanic_Alone_Percentage,Census_Poverty_Population,Census_Below_Poverty,Census_Below_Poverty_Percentage,Census_Labor_Population,Census_Unemployed,Census_Unemployed_Percentage,Census_Median_Age,Census_Total_Population_Over_25,Census_Median_Household_Income_Adjusted_2023,Census_Median_Gross_Rent_Adjusted_2023,Census_Median_Home_Value_Adjusted_2023,Census_Tenure_Population,Census_Owner_Occupied,Census_Renter_Occupied,Census_Owner_Occupied_Percentage,Census_Renter_Occupied_Percentage,Census_Percentage_At_Least_High_School,Census_Percentage_At_Least_College
Chelsea,2017,39272,12723,39272,8620,2301,54,1333,0,237,862,25865,0.21949480545936037,0.05859136280301487,0.001375025463434508,0.03394275819922591,0,0.006034833978407007,0.021949480545936036,0.6586117335506213,7990,1329,0.16633291614518148,21298,1163,0.05460606629730491,33.46750611122428,25845,66206.66359077074,1520.4964979359609,379807.7518423946,12723,3276,9447,0.25748644187691583,0.7425135581230842,0.6980460437221899,0.17438576126910427
Chelsea,2023,39460,13538,39460,7710,2456,0,1142,0,317,2198,25637,0.19538773441459706,0.062240243284338574,0,0.02894069944247339,0,0.008033451596553472,0.055701976685250884,0.6496958945767867,7506,1227,0.16346922462030375,20625,1816,0.08804848484848485,34.81116066903193,26721,82362.79475905733,1914.1462646809541,501056.3710777626,13538,3949,9589,0.2916974442310533,0.7083025557689466,0.6910669510871599,0.21978967852999515
Holyoke,2017,40362,15403,40362,17365,1154,64,624,0,117,386,20652,0.4302314057777117,0.028591249194787175,0.0015856498686883703,0.01546008621971161,0,0.002898766166195927,0.009563450770526734,0.5116693920023785,9317,2297,0.2465385853815606,18445,1877,0.1017619951206289,36.40045091918141,26875,53491.28739577471,943.268406072359,233288.87666087312,15403,6259,9144,0.4063494124521197,0.5936505875478802,0.7899906976744187,0.24148837209302326
Holyoke,2023,37949,15524,37949,16500,940,13,245,0,32,656,19563,0.4347940657197818,0.024770086168278478,3.425650214761917e-4,0.006456033097051305,0,8.43236975941395e-4,0.017286358006798598,0.5155076550106722,8761,1578,0.18011642506563177,17170,1186,0.06907396622015143,39.74997496640228,26730,62953.62394942892,1015.5972992524717,261665.96013919645,15524,6451,9073,0.41555011594949753,0.5844498840505025,0.7926300037411148,0.2430976430976431
