ID,SPECIES,SEASON,STREET,PROPERT,BaslnYr,Mrtl_S1,Mrtl_S2,Nrwy_Mp,LandUse,SiteTyp,Address,nTrePrp,D_IMPERVS,D_BLDNGS,D_CANOPY,TOTAL_VAL,OWN_ADDR,OWN_CITY,SITE_ADDR,YEAR_BUILT,OWN_OCC,Cmmnt_1,Cmmnt_2,Cmmnt_3,Cmmnt_4,X,Y,Alive_S1,Alive_S2,LOT_SIZE,ageS2,ageS1,TSurvey,npermits
11673,Swamp White Oak,Fall 2011,MARY ANN DR,5,15,Alive,Removed,Yes,SFR-D,BY,5 MARY ANN DR,14,9.538205101,10.32838269,5.302572762,340400,15 WOODBERRY RD,SUDBURY,5 MARY ANN DR,1952,FALSE,NA,NA,NA,Heavily forested,175893.8923,894228.3716,Alive,Dead,0.4635,11.75068493,3.745205479,8.005479451,1
11672,Swamp White Oak,Fall 2011,MARY ANN DR,5,15,Alive,Alive,Yes,SFR-D,BY,5 MARY ANN DR,14,5.579510135,26.02702563,0.645517655,340400,15 WOODBERRY RD,SUDBURY,5 MARY ANN DR,1952,FALSE,NA,NA,NA,NA,175869.3566,894223.1111,Alive,Alive,0.4635,11.75068493,3.745205479,8.005479451,1
11671,Red Oak,Fall 2011,MARY ANN DR,5,15,Alive,Alive,Yes,SFR-D,BY,5 MARY ANN DR,14,12.46462037,11.16663706,6.769620625,340400,15 WOODBERRY RD,SUDBURY,5 MARY ANN DR,1952,FALSE,NA,NA,NA,NA,175880.4392,894203.4084,Alive,Alive,0.4635,11.75068493,3.745205479,8.005479451,1
11668,Norway Spruce,Fall 2011,MARY ANN DR,5,15,Removed,Removed,Yes,SFR-D,BY,5 MARY ANN DR,14,7.331840358,21.62225052,2.852777411,340400,15 WOODBERRY RD,SUDBURY,5 MARY ANN DR,1952,FALSE,NA,NA,NA,Heavily forested,175873.6847,894211.968,Dead,Dead,0.4635,11.75068493,3.745205479,8.005479451,1
11666,Beech,Fall 2011,MARY ANN DR,5,15,Removed,Removed,Yes,SFR-D,BY,5 MARY ANN DR,14,15.70690665,24.58658978,0.242462289,340400,15 WOODBERRY RD,SUDBURY,5 MARY ANN DR,1952,FALSE,NA,NA,NA,Heavily forested,175881.0621,894217.9229,Dead,Dead,0.4635,11.75068493,3.745205479,8.005479451,1
11665,Beech,Fall 2011,MARY ANN DR,5,15,Removed,Removed,Yes,SFR-D,BY,5 MARY ANN DR,14,9.012942761,7.80640273,5.415835856,340400,15 WOODBERRY RD,SUDBURY,5 MARY ANN DR,1952,FALSE,NA,NA,NA,NA,175883.8358,894201.0716,Dead,Dead,0.4635,11.75068493,3.745205479,8.005479451,1
13642,Japanese Stewartia,Spring 2011,BAY STATE RD,121,14,Alive,Alive,No,SFR-D,FY,121 BAY STATE RD,5,2.126506441,2.7168533,10.08037418,362200,121 BAY STATE RD,WORCESTER,121 BAY STATE RD,1958,TRUE,NA,NA,NA,NA,176521.8767,894684.3403,Alive,Alive,0.4293,12.28767123,3.282191781,9.005479449,3
1153,Dawn Redwood,Fall 2010,BAY STATE RD,121,14,Removed,Removed,No,SFR-D,BY,121 BAY STATE RD,5,8.917568498,11.32750895,1.078122744,362200,121 BAY STATE RD,WORCESTER,121 BAY STATE RD,1958,TRUE,NA,NA,NA,NA,176550.5629,894678.5246,Dead,Dead,0.4293,12.75342466,3.747945205,9.005479455,3
1152,Dawn Redwood,Fall 2010,BAY STATE RD,121,14,Alive,Alive,Yes,SFR-D,BY,121 BAY STATE RD,5,10.32427104,11.09940702,0.402615001,362200,121 BAY STATE RD,WORCESTER,121 BAY STATE RD,1958,TRUE,NA,NA,NA,NA,176546.9401,894687.7234,Alive,Alive,0.4293,12.75342466,3.747945205,9.005479455,3
1151,Dawn Redwood,Fall 2010,BAY STATE RD,121,14,Alive,Alive,Yes,SFR-D,BY,121 BAY STATE RD,5,10.84758886,11.16707201,8.815940086,362200,121 BAY STATE RD,WORCESTER,121 BAY STATE RD,1958,TRUE,NA,NA,NA,NA,176543.4867,894695.5349,Alive,Alive,0.4293,12.75342466,3.747945205,9.005479455,3
1150,Blackgum,Fall 2010,BAY STATE RD,121,14,Removed,Removed,No,SFR-D,BY,121 BAY STATE RD,5,10.80190695,13.63802812,1.121248496,362200,121 BAY STATE RD,WORCESTER,121 BAY STATE RD,1958,TRUE,NA,NA,NA,NA,176540.209,894703.8659,Dead,Dead,0.4293,12.75342466,3.747945205,9.005479455,3
